State,District,A.1-total,A.1-rural,A.1-urban,A.2-total,A.2-rural,A.2-urban,A.3-total,A.3-rural,A.3-urban,A.4-total,A.4-rural,A.4-urban,A.5-total,A.5-rural,A.5-urban,A.6-total,A.6-rural,A.6-urban,A.7-total,A.7-rural,A.7-urban,A.8-total,A.8-rural,A.8-urban,A.9-total,A.9-rural,A.9-urban,A.10-total,A.10-rural,A.10-urban,A.11-total,A.11-rural,A.11-urban,A.12-total,A.12-rural,A.12-urban,A.13-total,A.13-rural,A.13-urban,A.14-total,A.14-rural,A.14-urban,A.15-total,A.15-rural,A.15-urban,A.16-total,A.16-rural,A.16-urban,A.17-total,A.17-rural,A.17-urban,A.18-total,A.18-rural,A.18-urban,A.19-total,A.19-rural,A.19-urban,A.20-total,A.20-rural,A.20-urban,A.21-total,A.21-rural,A.21-urban,A.22-total,A.22-nan,A.23-total,A.23-nan,A.24-total,A.24-nan,A.25-total,A.25-nan,B.1-total,B.1-male,B.1-female,B.2-primary,B.2-upper,B.3-primary,B.3-upper,B.4-primary,B.4-upper,B.5-primary,B.5-upper,B.6-primary,B.6-upper,B.7-primary,B.7-upper,B.8-primary,B.8-upper,B.9-primary,B.9-upper,B.10-primary,B.10-upper,B.11-primary,B.11-upper,B.12-primary,B.12-upper,B.13-primary,B.13-upper,C.1-total,C.1-rural,C.1-urban,C.2-total,C.2-rural,C.2-urban,C.3-ptotal,C.3-ntotal,C.3-prural,C.3-nrural,C.3-purban,C.3-nurban,C.4-ptotal,C.4-ntotal,C.4-prural,C.4-nrural,C.4-purban,C.4-nurban,C.5-ptotal,C.5-ntotal,C.5-prural,C.5-nrural,C.5-purban,C.5-nurban,D.1-total,D.1-rural,D.1-urban,D.2-total,D.2-rural,D.2-urban,D.3-ptotal,D.3-ntotal,D.3-prural,D.3-nrural,D.3-purban,D.3-nurban,D.4-ptotal,D.4-ntotal,D.4-prural,D.4-nrural,D.4-purban,D.4-nurban,D.5-ptotal,D.5-ntotal,D.5-prural,D.5-nrural,D.5-purban,D.5-nurban,E.1-total,E.1-rural,E.1-urban,E.2-total,E.2-rural,E.2-urban,E.3-total,E.3-rural,E.3-urban
Andaman and Nicobar Islands.xlsx,1. Nicobar,777,777,-,5.6,5.6,Not available,2,2,Not available,59.8,59.8,Not available,58.6,58.6,Not available,24.5,24.5,Not available,95.8,95.8,Not available,0.8,0.8,Not available,52.9,52.9,Not available,6.7,6.7,Not available,4.1,4.1,Not available,80,80,Not available,0,0,Not available,62.5,62.5,Not available,2.5,2.5,Not available,65.1,65.1,Not available,2.5,2.5,Not available,22.5,22.5,Not available,25.7,25.7,Not available,7.7,7.7,Not available,5.3,5.3,Not available,87.5,Not applicable,37.5,Not applicable,100,Not applicable,1,Not applicable,78.06,83.36,71.06,104.9,88.7,88.9,63.6,1.2,1.71,15,0,15,0,49.8,0,66,0,37.9,0,96.7,0,96.7,0,100,0,66.7,0,97.1,97.1,-,9959,9959,-,93.39291093483281,9301,93.39291093483281,9301,,-,0.08032935033637915,8,0.08032935033637915,8,,-,0.4819761020182749,48,0.4819761020182749,48,,-,73.7,73.7,-,9959,9959,-,55.24651069384476,5502,55.24651069384476,5502,,-,49.73390902701074,4953,49.73390902701074,4953,,-,4.277537905412189,426,4.277537905412189,426,,-,2.81,2.81,0,62.64,62.64,0,0.57,0.57,0
Andaman and Nicobar Islands.xlsx,2. North and Middle Andaman,925,924,952,3.3,3.3,Not available,2.3,2.3,Not available,68.2,68.2,Not available,66.8,66.8,Not available,13.4,13.4,Not available,89.9,89.9,Not available,4,4,Not available,77.4,77.4,Not available,5.7,5.7,Not available,3.4,3.4,Not available,64.5,64.5,Not available,0,0,Not available,59.3,59.3,Not available,3.7,3.7,Not available,65,65,Not available,4.1,4.1,Not available,20,20,Not available,27.4,27.5,Not available,19.6,19.6,Not available,4.2,4.2,Not available,79.5,Not applicable,84.6,Not applicable,100,Not applicable,1,Not applicable,83.91,88.37,79.06,104,97.2,87.3,74.1,0.6,2.04,12,0,10,0,49.5,0,53.1,0,17.3,0,82.9,0,83.8,0,95.7,0,65,0,92.5,92.5,Not available,26327,25586,741,70.80563679872375,18641,70.41741577425155,18017,84.21052631578947,624,0.3874349527101455,102,0.39865551473462046,102,,-,0.6343297755156303,167,0.6527006956929571,167,,-,92.9,92.9,Not available,26327,25586,741,42.7925703650245,11266,42.194950363480025,10796,63.42780026990553,470,29.114597181600637,7665,28.124755725787544,7196,63.292847503373814,469,11.904128841113685,3134,12.248886109591183,3134,,-,3.36,3.39,2.43,61.32,61.17,66.67,1.47,1.46,1.89
Andaman and Nicobar Islands.xlsx,3. South Andaman (Andaman),871,869,872,5.4,5.7,Not available,2.5,2.6,Not available,72.4,76.1,Not available,62.6,63.7,Not available,12.4,11.2,Not available,94.5,90.9,Not available,0.6,1.5,Not available,85.3,84.6,Not available,15.4,19.1,Not available,12.3,12.8,Not available,82.1,89.1,Not available,16.1,28.3,Not available,77.6,67.7,Not available,7.6,6.7,Not available,73.9,72.5,Not available,7,7.7,Not available,21.1,21.5,Not available,24.5,26,Not available,5.1,7.2,Not available,4.1,6,Not available,77.8,Not applicable,88.9,Not applicable,100,Not applicable,1,Not applicable,89.13,92.19,85.57,107.8,99.4,94.1,78.3,0.7,0.78,9,0,10,0,47.8,0,77,0,8.1,0,94.4,0,97.6,0,100,0,98.4,0,97.8,95.3,Not available,57090,23485,33605,91.92327903310562,52479,83.17649563551203,19534,98.03600654664486,32945,0.04729374671571203,27,0.09367681498829039,22,0.014878738282993602,5,0.36083377123839555,206,0.5407707047051309,127,0.2350840648712989,79,94.7,88.1,Not available,57090,23485,33605,69.79681205114731,39847,49.0355546093251,11516,84.30590685909834,28331,61.252408477842,34969,33.9067489887162,7963,80.36304121410505,27006,5.8539148712559115,3342,8.809878645944218,2069,3.788126766850171,1273,2.94,3.19,2.76,78.65,74.52,81.54,4.89,1.67,7.13
Andhra Pradesh.xlsx,1. Anantapur,977,971,991,3.4,4.4,Not available,2.9,3,Not available,65.6,63,Not available,65.4,62.7,Not available,16.1,16.7,Not available,82,77.4,Not available,10.9,12.8,Not available,66.2,66.7,Not available,5.8,6.7,Not available,12.2,12.8,Not available,75.7,76.4,Not available,22.6,23.7,Not available,74.7,82.4,Not available,18.3,19.4,Not available,63.2,67.9,Not available,12.4,14.8,Not available,25.1,24,Not available,19.4,19.3,Not available,19.4,21.6,Not available,10.4,14.8,Not available,84.1,Not applicable,79.6,Not applicable,69.7,Not applicable,2,Not applicable,63.57,73.02,53.97,94.7,77.4,78,56.7,1.6,4.35,28,0,23,0,48.2,0,47.4,0,3.8,0,57.4,0,39.3,0,78.9,0,89.9,0,99.2,98.7,Not available,961165,698439,262726,93.42516633460436,897970,91.92842896802728,642064,97.40413967403302,255906,0.23461112296015774,2255,0.22779369422383342,1591,0.25273478833461477,664,0.2778919332268653,2671,0.33403060252935474,2333,0.12865114225466837,338,98.6,98.2,Not available,961165,698439,262726,23.437703203924404,225275,15.984645760044899,111643,43.25114377716709,113632,15.7493250378447,151377,7.654068572917606,53459,37.27000753636869,97918,6.66025084142681,64016,7.326767262423776,51173,4.888362780996171,12843,1.19,0.97,1.59,54.92,49.76,64.58,0.57,0.29,1.1
Andhra Pradesh.xlsx,2. Chittoor,997,996,999,5.4,7.1,Not available,2.4,2.5,Not available,72.4,71.8,Not available,72.1,71.8,Not available,15.6,15.6,Not available,91.7,89.8,Not available,3,3.6,Not available,55.3,61.5,Not available,9.1,11,Not available,10.8,10.9,Not available,78.6,83.4,Not available,21.7,24.8,Not available,70.6,71.7,Not available,10.9,15,Not available,63.4,66.5,Not available,8.9,10.5,Not available,21.3,20.5,Not available,26.2,25.7,Not available,8.3,11.1,Not available,9.4,10.6,Not available,70.5,Not applicable,70.5,Not applicable,42.4,Not applicable,1,Not applicable,71.53,79.83,63.28,93.5,79.8,75.4,57.4,1.7,2.94,24,0,20,0,48.2,0,52.4,0,3.8,0,93.5,0,45.3,0,96.5,0,95.2,0,98.8,98.2,Not available,1022116,727635,294481,92.4117223485397,944555,90.25417963676844,656721,97.74280853433667,287834,0.24977595497966965,2553,0.24765163852755848,1802,0.2550249421864229,751,0.23011086804237482,2352,0.2792608931675909,2032,0.10866575432710429,320,99.7,99.5,Not available,1022116,727635,294481,33.46107486821457,342011,26.258907281810252,191069,51.25695715513056,150942,18.25262494667924,186563,11.75754327375676,85552,34.301364094797286,101011,11.345091946510962,115960,12.455558075133824,90631,8.601234035472578,25329,3.46,3.16,4.21,54.9,49.86,67.36,1.35,0.4,3.68
Andhra Pradesh.xlsx,3.East Godavari,1006,998,1030,7.6,8.4,Not available,2.3,2.3,Not available,71.5,70.1,Not available,71.2,69.7,Not available,17.8,20.7,Not available,95.2,94.3,Not available,1.3,1.6,Not available,62.2,73.6,Not available,9.3,10.4,Not available,10.8,9.7,Not available,81.3,78.2,Not available,20.7,18.9,Not available,63.9,65.1,Not available,9.1,9.2,Not available,78.2,71.6,Not available,8.2,7.7,Not available,20.4,20.3,Not available,24.4,23.9,Not available,12.7,13.3,Not available,18.1,15.9,Not available,95.5,Not applicable,86.4,Not applicable,21.9,Not applicable,2,Not applicable,70.99,74.51,67.52,97.6,82.6,82,63,2.6,4.39,24,0,23,0,49.1,0,52.6,0,3.7,0,72.7,0,78.5,0,95.3,0,89.3,0,98.6,97.9,Not available,1407410,1063044,344366,92.17449073120129,1297273,90.50039321044096,962059,97.34236248642432,335214,0.19724174192310698,2776,0.20328415380736828,2161,0.1785890593147988,615,0.23411798978265042,3295,0.26913279224566433,2861,0.12602870202052466,434,98.9,98.3,,1407410,1063044,344366,43.611243347709625,613789,37.18660751577546,395310,63.44383591876085,218479,21.8337229378788,307290,12.765605186615042,135704,49.8266379375432,171586,3.671069553292928,51667,4.021564488393707,42751,2.5891057769930828,8916,4.65,4.47,5.18,43.65,39.1,57.68,1.59,0.65,4.51
Andhra Pradesh.xlsx,4. Guntur,1003,995,1018,10.4,13,Not available,2.7,2.7,Not available,75.2,76.4,Not available,75,76.2,Not available,13.2,11.7,Not available,91.2,91.2,Not available,4.1,4,Not available,62.8,66.1,Not available,11.5,14.4,Not available,12.9,13,Not available,82.1,83.5,Not available,23.5,27.4,Not available,79.5,83,Not available,11.7,14.1,Not available,73.7,77.2,Not available,9.6,11,Not available,19.3,18.9,Not available,23.5,23.3,Not available,22.1,25,Not available,15.7,16.8,Not available,95.5,Not applicable,68.2,Not applicable,41.4,Not applicable,2,Not applicable,67.4,74.79,60.09,93.5,73.3,76.6,55.2,4.6,6.13,24,0,23,0,49.5,0,56,0,3.9,0,93.7,0,57.2,0,82.3,0,93.7,0,99.1,99.1,Not available,1287831,877109,410722,92.09500314870508,1186028,90.20737445403023,791217,96.12609015343712,394811,0.2298438226754908,2960,0.1943886107655947,1705,0.3055594781871923,1255,0.4211732750648183,5424,0.5141892284767344,4510,0.22253495064788348,914,97.6,98,Not available,1287831,877109,410722,43.06985932160353,554667,32.6185228973822,286100,65.38899791099576,268567,26.03524841380585,335290,14.55782576623886,127688,50.54562453435657,207602,3.0521085452982573,39306,3.499907081103945,30698,2.0958215045700013,8608,4.83,4.97,4.53,47.93,43,58.47,1.51,0.47,3.7
Andhra Pradesh.xlsx,5. YSR (Kadapa),985,983,990,4.7,6,Not available,2.7,2.7,Not available,60.6,59.5,Not available,60.2,59.1,Not available,24.1,24.8,Not available,92.7,92.2,Not available,3,3.7,Not available,62,63.1,Not available,11.5,12.1,Not available,9.9,7.6,Not available,77.6,78.8,Not available,17.4,16.1,Not available,59.8,59.7,Not available,6.6,6.5,Not available,65.4,65.5,Not available,9.1,9.9,Not available,19.7,19.2,Not available,24.6,24.1,Not available,17.5,20.4,Not available,13.2,14.5,Not available,77.3,Not applicable,65.9,Not applicable,48.3,Not applicable,1,Not applicable,67.3,77.78,56.77,102.4,80.8,73.1,53.1,0.4,7.75,25,0,23,0,49.2,0,42.3,0,3.9,0,86.1,0,59.4,0,89.1,0,87.1,0,99.3,99.1,Not available,703136,475919,227217,95.53827424566514,671764,94.54423967103645,449954,97.62033650651139,221810,0.24305397533336365,1709,0.21495254444558842,1023,0.3019140293199893,686,0.18332157648022573,1289,0.21222098718479404,1010,0.12279010813451459,279,99.7,99.8,Not available,703136,475919,227217,33.94620670823283,238688,25.67138525673486,122175,51.27829343755089,116513,22.885046420607107,160913,12.458632666483162,59293,44.72376626748879,101620,10.019541027624811,70451,12.288015397578159,58481,5.26809173609369,11970,2.64,2.29,3.37,58.08,53.61,67.45,0.95,0.47,1.96
Andhra Pradesh.xlsx,6. Krishna,992,990,996,4.8,5.1,Not available,2.1,2.1,Not available,77.7,79.7,Not available,77.3,79.4,Not available,9.3,8.7,Not available,96.9,95.6,Not available,0.5,0.9,Not available,46.7,48.3,Not available,8.1,10.8,Not available,7.9,9.3,Not available,72.7,78.4,Not available,19.2,25.7,Not available,82.4,77.8,Not available,15.6,19.2,Not available,72.8,74.6,Not available,12.3,16.7,Not available,19.3,19.4,Not available,23.2,24.1,Not available,14,13.8,Not available,11,13.5,Not available,88.2,Not applicable,58.8,Not applicable,39.3,Not applicable,1,Not applicable,73.74,78.3,69.18,92.9,77.1,77.7,59.5,2.1,3.66,26,10,22,16,48.9,9.7,62.8,66.7,3.3,0,91.3,100,55.6,0,97.6,100,86,100,98.9,98.5,Not available,1227257,754361,472896,94.84011906226651,1163932,93.04616755107965,701904,97.70182027337935,462028,0.28029988828745733,3440,0.25929230169640266,1956,0.3138110705102179,1484,0.3312264668280564,4065,0.40577389340117,3061,0.21230883746109083,1004,97.8,96.3,Not available,1227257,754361,472896,49.85736483882349,611878,32.81081604165645,247512,77.04992218162133,364366,36.29435399431415,445425,18.909249020031524,142644,64.02697421843281,302781,4.082274535814421,50100,4.626034484815626,34897,3.2148717688455815,15203,6.02,6.72,5.36,48.74,40.37,62.1,2.48,0.59,5.5
Andhra Pradesh.xlsx,7. Kurnool,988,983,1000,7.6,6.2,Not available,3.3,3.4,Not available,60.2,58.9,Not available,60.2,58.9,Not available,17.4,17.4,Not available,75.7,68.7,Not available,13.7,16.9,Not available,59.4,61,Not available,9.2,9.6,Not available,10.8,10.9,Not available,82.4,85.1,Not available,30.3,31.8,Not available,73.6,75,Not available,9.2,10.6,Not available,69.5,71.1,Not available,12.1,11.2,Not available,19.6,18.7,Not available,23.5,22.6,Not available,19.5,22.2,Not available,21.7,29.3,Not available,79.6,Not applicable,68.2,Not applicable,37.8,Not applicable,2,Not applicable,59.97,70.1,49.78,99.2,73.7,81.8,54,3.4,5.52,33,0,27,0,48.8,0,52.3,0,3.7,0,80.4,0,56,0,83.3,0,82.5,0,99.3,99.3,Not available,877182,630786,246396,93.1073597041435,816721,91.71176912613787,578505,96.68014091137843,238216,0.41599120820992674,3649,0.33038146059043794,2084,0.6351564148768649,1565,0.41450918965505446,3636,0.5052426654998684,3187,0.18222698420428904,449,97.9,97.5,Not available,877182,630786,246396,25.88345406084484,227045,15.19168148944333,95827,53.25492296952873,131218,20.492668568210473,179758,9.783666726908967,61714,47.90824526372182,118044,4.330572218764179,37987,4.384212712393744,27655,4.193249890420299,10332,3.49,2.9,5,59.18,55.68,68.13,1.15,0.4,3.08
Andhra Pradesh.xlsx,8.  Prakasam,981,977,1001,6.5,9.8,Not available,2.2,2.6,Not available,72.7,73.1,Not available,71.9,72.6,Not available,19.7,19.1,Not available,92.7,91.2,Not available,3.2,5.5,Not available,57.1,55,Not available,10.2,10.9,Not available,9.5,7.8,Not available,72.1,78.8,Not available,13.5,12.1,Not available,57.7,46.2,Not available,Not available,Not available,Not available,64.7,64.2,Not available,9.7,10.3,Not available,20.4,19.1,Not available,24.4,23.2,Not available,14.3,23.6,Not available,10.8,15.7,Not available,52,Not applicable,84,Not applicable,33.3,Not applicable,1,Not applicable,63.08,72.92,53.11,100.4,72.8,80.8,52.7,5.2,4.45,25,0,24,0,48.4,0,45.1,0,2.4,0,82.1,0,69.9,0,81.1,0,85.4,0,99.2,98.7,Not available,857276,692542,164734,89.08986137486644,763746,87.59078871750738,606603,95.39196522879308,157143,0.22396521073726547,1920,0.22395753614943206,1551,0.2239974747168162,369,0.5186194411134804,4446,0.5589552691389115,3871,0.3490475554530334,575,99,98,Not available,857276,692542,164734,23.014758374199207,197300,18.158609874924554,125756,43.4300144475336,71544,12.024598845645976,103084,7.2648301474856405,50312,32.03467408063909,52772,5.502545271301191,47172,5.798493087783846,40157,4.258380176527007,7015,2.93,2.76,3.61,52.62,49.69,64.91,0.72,0.34,2.3
Andhra Pradesh.xlsx,9. Sri Potti Sriramulu Nellore,985,985,985,55.2,52.8,Not available,2.4,2.6,Not available,68.1,68.3,Not available,67.9,68.2,Not available,12.6,12.3,Not available,91.6,92.4,Not available,3.3,3.6,Not available,54.4,56.4,Not available,13.3,15.9,Not available,14.4,13.9,Not available,79.7,79.2,Not available,21.4,21.9,Not available,84.6,87.7,Not available,10.8,8.1,Not available,72.4,71.2,Not available,9.6,6.9,Not available,20.3,19.3,Not available,24.2,23.9,Not available,14.4,16.3,Not available,14.4,15.1,Not available,79.6,Not applicable,65.9,Not applicable,38.2,Not applicable,1,Not applicable,68.9,75.74,61.99,95.8,74.1,79.5,56.6,1.7,2.94,23,13,21,25,48.7,45,46.4,50,4.5,0,86.5,100,64.4,100,86.3,100,91.3,100,98.1,97.6,Not available,772625,567914,204711,90.08561721404304,696024,87.69796131104357,498049,96.70950754966758,197975,0.1421129267108882,1098,0.13030141887680177,740,0.174880685454128,358,0.330561397832066,2554,0.3951302485939772,2244,0.15143299578430078,310,99.1,99.5,Not available,772625,567914,204711,43.8721242517392,338967,36.457456586736726,207047,64.4420671092418,131920,23.085325999029283,178363,16.749014815623493,95120,40.66366731636307,83243,9.35356738391846,72268,11.510545610779097,65370,3.369628402968087,6898,3.82,3.72,4.09,49.3,44.79,61.81,1.32,0.41,3.85
Andhra Pradesh.xlsx,10. Srikakulam,1015,1011,1033,3.8,5.6,Not available,2.3,2.3,Not available,67.5,69.7,Not available,67.3,69.7,Not available,21.3,18.6,Not available,92.2,89.4,Not available,6.7,8.5,Not available,80,94.7,Not available,8.5,8.5,Not available,20.2,17.5,Not available,83.6,87,Not available,15.8,17.4,Not available,78,86.5,Not available,5.1,5.4,Not available,69.4,75.6,Not available,7.5,9.3,Not available,21.1,20,Not available,26.3,25.6,Not available,4.3,7.5,Not available,8,10.3,Not available,92,Not applicable,84,Not applicable,42.9,Not applicable,,Not applicable,61.74,71.61,52.08,94.7,83.1,77.7,60.2,2.2,2.34,22,3,21,3,49.2,24.4,38.2,53.3,3.8,0,61.7,100,41.8,50,88.5,100,89.2,100,98.8,98.2,Not available,689323,580048,109275,89.28064202122953,615432,87.97065070476926,510272,96.2342713337909,105160,0.13506005167388874,931,0.14653959672302982,850,0.07412491420727522,81,0.25184129936183763,1736,0.24860011585248115,1442,0.26904598490048043,294,84.7,73.7,Not available,689323,580048,109275,15.567157921612946,107308,11.005296113425096,63836,39.78220086936628,43472,3.440622175670912,23717,1.0945645877582546,6349,15.893845801876,17368,0.6024751821714929,4153,0.4689267095136954,2720,1.311370395790437,1433,2.73,2.62,3.32,42.77,39.9,58.03,0.58,0.31,2.02
Andhra Pradesh.xlsx,11.  Visakhapatnam,1006,1025,985,3.2,5,Not available,2.5,2.7,Not available,73.8,70.3,Not available,73.6,70,Not available,13.7,14.3,Not available,80.3,68.2,Not available,3.2,4.7,Not available,65,59.2,Not available,12.7,16.4,Not available,15.5,21.2,Not available,76.7,81.8,Not available,18.3,23.5,Not available,61.8,64.7,Not available,8,3.9,Not available,61.2,62.4,Not available,6.6,7.9,Not available,20.1,19.2,Not available,25,24.2,Not available,17.8,21,Not available,13.4,18.9,Not available,87.1,Not applicable,80.7,Not applicable,63,Not applicable,1,Not applicable,66.91,74.56,59.34,100.7,80.3,82.6,60,1.5,1.05,26,0,22,0,49.9,0,51.3,0,10.9,0,72,0,42.5,0,90.9,0,66.5,0,96.2,93.1,Not available,1126166,583474,542692,89.70702365370647,1010250,83.21004877680926,485509,96.69223058383024,524741,0.38795346334376996,4369,0.35614269016271505,2078,0.4221547397050261,2291,0.24721044677250067,2784,0.3189516585143468,1861,0.17007805532419865,923,95.7,93.3,Not available,1126166,583474,542692,34.120902247093234,384258,9.45920469463935,55192,60.63586712168229,329066,21.400752642150447,241008,2.953859126542057,17235,41.23388588739101,223773,1.3487354439753998,15189,0.9618252055789975,5612,1.7647210572479417,9577,3.51,1.84,5.3,49.87,35.22,65.63,4.04,0.47,7.88
Andhra Pradesh.xlsx,12. Vizianagaram,1019,1014,1037,7.3,3.9,Not available,2.5,2.6,Not available,79.3,80.1,Not available,79.1,80.1,Not available,11.2,11.1,Not available,93.2,92.9,Not available,3.4,3.1,Not available,63.4,63.6,Not available,9.3,11.6,Not available,12.5,14.1,Not available,76.6,84.8,Not available,10.2,10.6,Not available,71.1,71.4,Not available,17.8,23.8,Not available,60.4,61.8,Not available,5,5.6,Not available,20.1,19.5,Not available,25.1,25,Not available,11.4,14.8,Not available,9,9,Not available,88,Not applicable,84,Not applicable,40,Not applicable,1,Not applicable,58.89,68.15,49.87,95.2,80.9,77.2,59.4,1.9,4.65,22,0,22,0,49.5,0,38.5,0,4.7,0,67.7,0,37,0,86.2,0,85.9,0,98.4,97.7,Not available,596605,475145,121460,88.45651645561134,527736,86.68553809889613,411882,95.38448872056644,115854,0.12705223724239656,758,0.1351166486020057,642,0.09550469290301333,116,0.2028142573394457,1210,0.21909101432194383,1041,0.13914045776387288,169,97.5,95.2,Not available,596605,475145,121460,15.946564309719161,95138,8.89581075250713,42268,43.52873373950272,52870,8.139723937948894,48562,2.304980584874091,10952,30.964926724847686,37610,0.7080061347122468,4224,0.6196003325300699,2944,1.0538448872056645,1280,2.21,2,3.05,39.61,35.35,56.3,0.75,0.24,2.74
Andhra Pradesh.xlsx,13. West Godavari,1004,996,1033,5.6,4,Not available,2.3,2.3,Not available,71.2,72.5,Not available,71,72.3,Not available,19.5,17.4,Not available,97.8,96.7,Not available,2.2,3.3,Not available,51.6,54.5,Not available,8.8,11.1,Not available,11.3,11.8,Not available,75.3,73.7,Not available,18.3,16,Not available,60.9,59,Not available,12,11.5,Not available,66.7,57.6,Not available,8.8,6.5,Not available,19.6,19.5,Not available,22.9,21.4,Not available,14.7,11,Not available,14.6,18.3,Not available,88,Not applicable,84,Not applicable,35,Not applicable,1,Not applicable,74.63,77.92,71.36,93.4,83.1,77.8,62.3,3,Not available,24,4,23,2,50,37.5,52.6,100,2.6,0,64.6,100,77.6,100,99,100,93,100,99.2,98.5,Not available,1075780,870607,205173,94.58885645764003,1017568,93.9039084225144,817534,97.49528446725446,200034,0.09537265983751324,1026,0.09326825996115354,812,0.10430222300205194,214,0.295227648775772,3176,0.31529725811990944,2745,0.2100666267003943,431,99.2,98.8,Not available,1075780,870607,205173,55.14705608953504,593261,51.38391949524872,447352,71.11510773834763,145909,40.19948316570303,432458,35.25103749452968,306898,61.19713607540953,125560,5.740764840394876,61758,6.610789943108658,57554,2.049002549068347,4204,5.27,5.25,5.33,44.44,41.99,54.83,1.12,0.53,3.61
Arunachal Pradesh.xlsx,1. Anjaw,839,855,571,4.7,4.7,Not available,4.2,4.2,Not available,44.7,44.7,Not available,39.2,39.2,Not available,37.7,37.7,Not available,35,35,Not available,4.9,4.9,Not available,29.1,29.1,Not available,16.1,16.1,Not available,6.1,6.1,Not available,56.1,56.1,Not available,4.5,4.5,Not available,58.5,58.5,Not available,4.6,4.6,Not available,49.9,49.9,Not available,2.9,2.9,Not available,19.4,19.4,Not available,23.3,23.3,Not available,15.9,15.9,Not available,30.3,30.3,Not available,50,Not applicable,26.3,Not applicable,100,Not applicable,Not Available,Not applicable,56.46,66.81,43.71,126.3,87.1,88.6,51.5,13.3,9.32,20,9,11,18,48,100,14.1,62.5,67.3,100,90.4,100,0,0,90.4,100,3.8,0,73.6,73.6,Not available,4180,4060,120,46.6267942583732,1949,45.073891625615765,1830,99.16666666666667,119,24.2822966507177,1015,25,1015,0,0,1.076555023923445,45,1.1083743842364533,45,0,0,92.3,92.3,Not available,4180,4060,120,31.267942583732054,1307,30.295566502463057,1230,64.16666666666667,77,12.200956937799043,510,10.985221674876847,446,53.333333333333336,64,18.995215311004785,794,19.236453201970445,781,10.833333333333334,13,1.32,1.33,0.83,24.57,23.25,69.17,0.65,0.67,0
Arunachal Pradesh.xlsx,2. Changlang,926,946,803,7,7,Not available,3.4,3.6,Not available,44.7,45.9,Not available,38.5,39,Not available,37.2,35.9,Not available,52.2,47.4,Not available,0,0,Not available,36.1,33.8,Not available,20.4,20.4,Not available,3.9,3.9,Not available,80.5,80.7,Not available,16.2,16,Not available,83.8,82.1,Not available,14.1,10.8,Not available,81,81,Not available,8.9,8.3,Not available,20.3,20.1,Not available,23.7,23.5,Not available,25.3,25.7,Not available,22.5,24.7,Not available,60,Not applicable,65.7,Not applicable,100,Not applicable,1,Not applicable,59.8,68.93,49.84,108.1,92.1,84.8,55.9,5.9,0.76,22,0,14,0,47.5,0,38.8,0,41.1,0,88.1,0,47.9,0,93.6,0,41.5,0,70,66.4,Not available,28428,24444,3984,51.333192626987476,14593,44.64490263459336,10913,92.3694779116466,3680,0.7879555367947094,224,0.9081983308787434,222,0.0502008032128514,2,5.146334599690446,1463,5.817378497790869,1422,1.0291164658634537,41,78,76.5,Not available,28428,24444,3984,42.35261010271563,12040,38.635247913598434,9444,65.16064257028113,2596,3.6724356268467706,1044,3.0682376043200783,750,7.379518072289157,294,17.54959898691431,4989,11.557028309605629,2825,54.317269076305216,2164,1.53,1.35,2.61,32.45,28.58,56.15,0.6,0.27,2.59
Arunachal Pradesh.xlsx,3. Dibang Valley,813,814,812,3.1,3.1,Not available,4.2,4.2,Not available,45.4,45.4,Not available,44.3,44.3,Not available,34.7,34.7,Not available,52.5,52.5,Not available,3.4,3.4,Not available,58.5,58.5,Not available,15.2,15.2,Not available,7.5,7.5,Not available,53.5,53.5,Not available,2.3,2.3,Not available,58.5,58.5,Not available,1.5,1.5,Not available,38.2,38.2,Not available,1.2,1.2,Not available,22.4,22.4,Not available,25.5,25.5,Not available,5.7,5.7,Not available,11.7,11.7,Not available,40,Not applicable,46.7,Not applicable,100,Not applicable,1,Not applicable,64.1,68.07,59.16,108.7,77,100,68,7.7,14.22,9,10,9,0,47.7,0,45,0,47.1,0,48.6,0,48.6,0,100,0,20,0,96,96,Not available,1871,1297,574,57.402458578300376,1074,40.40092521202776,524,95.81881533101046,550,11.384286477819348,213,16.422513492675407,213,0,0,16.408337787279528,307,23.670007710100233,307,0,0,97.7,97.7,Not available,1871,1297,574,49.812934259754144,932,40.169622205088665,521,71.602787456446,411,10.903260288615714,204,8.866615265998458,115,15.505226480836237,89,38.53554249064671,721,30.763299922898995,399,56.09756097560976,322,3.21,2.08,5.75,35.38,24.52,59.93,0.91,0.54,1.74
